"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range"
"0.14556884765625","232.68375941253","-0.00020004272460937","0.14578247070312","1","485","0.0012895535193384","-0.0025236618965864","1 mA"
"0.14801025390625","232.6959664125","-0.00019711303710938","0.14816284179688","1","486","0.0012895535193384","-0.0025236618965864","1 mA"
"0.15045166015625","232.70817341247","-0.00019638061523438","0.15057373046875","1","487","0.0012895535193384","-0.0025236618965864","1 mA"
"0.15289306640625","232.72038041244","-0.00019464111328125","0.15304565429688","1","488","0.0012895535193384","-0.0025236618965864","1 mA"
"0.15533447265625","232.73258741241","-0.00019088745117187","0.15554809570312","1","489","0.0012895535193384","-0.0025236618965864","1 mA"
"0.15777587890625","232.74479441238","-0.00018841552734375","0.15789794921875","1","490","0.0012895535193384","-0.0025236618965864","1 mA"
"0.16021728515625","232.75700141235","-0.00018759155273438","0.160400390625","1","491","0.0012895535193384","-0.0025236618965864","1 mA"
"0.16265869140625","232.76920841231","-0.00018499755859375","0.162841796875","1","492","0.0012895535193384","-0.0025236618965864","1 mA"
"0.16510009765625","232.78141541228","-0.000180908203125","0.16525268554688","1","493","0.0012895535193384","-0.0025236618965864","1 mA"
"0.16754150390625","232.79362241225","-0.00017889404296875","0.16769409179688","1","494","0.0012895535193384","-0.0025236618965864","1 mA"
"0.16998291015625","232.80582941222","-0.00017767333984375","0.17013549804688","1","495","0.0012895535193384","-0.0025236618965864","1 mA"
"0.17242431640625","232.81803641219","-0.00017410278320313","0.172607421875","1","496","0.0012895535193384","-0.0025236618965864","1 mA"
"0.17486572265625","232.83024341216","-0.00017010498046875","0.17501831054688","1","497","0.0012895535193384","-0.0025236618965864","1 mA"
"0.17730712890625","232.84245041213","-0.00016839599609375","0.17742919921875","1","498","0.0012895535193384","-0.0025236618965864","1 mA"
"0.17974853515625","232.8546574121","-0.00016641235351563","0.17984008789062","1","499","0.0012895535193384","-0.0025236618965864","1 mA"
"0.18218994140625","232.86686441207","-0.00016195678710938","0.18231201171875","1","500","0.0012895535193384","-0.0025236618965864","1 mA"
"0.18463134765625","232.87907141204","-0.00015823364257813","0.18475341796875","1","501","0.0012895535193384","-0.0025236618965864","1 mA"
"0.18707275390625","232.89127841201","-0.00015658569335938","0.187255859375","1","502","0.0012895535193384","-0.0025236618965864","1 mA"
"0.18951416015625","232.90348541198","-0.000153564453125","0.189697265625","1","503","0.0012895535193384","-0.0025236618965864","1 mA"
"0.19195556640625","232.91569241194","-0.00014846801757813","0.192138671875","1","504","0.0012895535193384","-0.0025236618965864","1 mA"
"0.19439697265625","232.92789941191","-0.00014505004882813","0.194580078125","1","505","0.0012895535193384","-0.0025236618965864","1 mA"
"0.19683837890625","232.94010641188","-0.00014315795898437","0.19696044921875","1","506","0.0012895535193384","-0.0025236618965864","1 mA"
"0.19927978515625","232.95231341185","-0.00013897705078125","0.19943237304688","1","507","0.0012895535193384","-0.0025236618965864","1 mA"
"0.20172119140625","232.96452041182","-0.00013345336914063","0.20187377929688","1","508","0.0012895535193384","-0.0025236618965864","1 mA"
"0.20416259765625","232.97672741179","-0.00013031005859375","0.204345703125","1","509","0.0012895535193384","-0.0025236618965864","1 mA"
"0.20660400390625","232.98893441176","-0.000127685546875","0.206787109375","1","510","0.0012895535193384","-0.0025236618965864","1 mA"
"0.20904541015625","233.00114141173","-0.00012222290039062","0.20919799804688","1","511","0.0012895535193384","-0.0025236618965864","1 mA"
"0.21148681640625","233.0133484117","-0.00011669921875","0.21160888671875","1","512","0.0012895535193384","-0.0025236618965864","1 mA"
"0.21392822265625","233.02555541167","-0.00011370849609375","0.21414184570312","1","513","0.0012895535193384","-0.0025236618965864","1 mA"
"0.21636962890625","233.03776241164","-0.00010989379882812","0.216552734375","1","514","0.0012895535193384","-0.0025236618965864","1 mA"
"0.21881103515625","233.04996941161","-0.00010336303710938","0.21902465820312","1","515","0.0012895535193384","-0.0025236618965864","1 mA"
"0.22125244140625","233.06217641157","-9.796142578125E-5","0.221435546875","1","516","0.0012895535193384","-0.0025236618965864","1 mA"
"0.22369384765625","233.07438341154","-9.478759765625E-5","0.22390747070312","1","517","0.0012895535193384","-0.0025236618965864","1 mA"
"0.22613525390625","233.08659041151","-8.953857421875E-5","0.22628784179688","1","518","0.0012895535193384","-0.0025236618965864","1 mA"
"0.22857666015625","233.09879741148","-8.209228515625E-5","0.228759765625","1","519","0.0012895535193384","-0.0025236618965864","1 mA"
"0.23101806640625","233.11100441145","-7.6873779296875E-5","0.23117065429688","1","520","0.0012895535193384","-0.0025236618965864","1 mA"
"0.23345947265625","233.12321141142","-7.2479248046875E-5","0.23370361328125","1","521","0.0012895535193384","-0.0025236618965864","100 µA"
"0.23590087890625","233.13541841139","-6.573486328125E-5","0.23617553710938","1","522","0.0012895535193384","-0.0025236618965864","100 µA"
"0.23834228515625","233.14762541136","-5.780029296875E-5","0.23858642578125","1","523","0.0012895535193384","-0.0025236618965864","100 µA"
"0.24078369140625","233.15983241133","-5.267333984375E-5","0.24102783203125","1","524","0.0012895535193384","-0.0025236618965864","100 µA"
"0.24322509765625","233.1720394113","-4.78271484375E-5","0.243408203125","1","525","0.0012895535193384","-0.0025236618965864","100 µA"
"0.24566650390625","233.18424641127","-3.9395141601563E-5","0.24588012695312","1","526","0.0012895535193384","-0.0025236618965864","100 µA"
"0.24810791015625","233.19645341124","-3.1259155273437E-5","0.248291015625","1","527","0.0012895535193384","-0.0025236618965864","100 µA"
"0.25054931640625","233.2086604112","-2.6156616210938E-5","0.250732421875","1","528","0.0012895535193384","-0.0025236618965864","100 µA"
"0.25299072265625","233.22086741117","-1.9525146484375E-5","0.25320434570312","1","529","0.0012895535193384","-0.0025236618965864","100 µA"
"0.25543212890625","233.23307441114","-9.70458984375E-6","0.255615234375","1","530","0.0012895535193384","-0.0025236618965864","100 µA"
"0.25787353515625","233.24528141111","-1.63818359375E-6","0.258056640625","1","531","0.0012895535193384","-0.0025236618965864","100 µA"
"0.26031494140625","233.25748841108","3.8931274414062E-6","0.260498046875","1","532","0.0012895535193384","-0.0025236618965864","100 µA"
"0.26275634765625","233.26969541105","1.234130859375E-5","0.26287841796875","1","533","0.0012895535193384","-0.0025236618965864","100 µA"
"0.26519775390625","233.28190241102","2.3269653320313E-5","0.26535034179688","1","534","0.0012895535193384","-0.0025236618965864","100 µA"
"0.26763916015625","233.29410941099","3.101806640625E-5","0.26776123046875","1","535","0.0012895535193384","-0.0025236618965864","100 µA"
"0.27008056640625","233.30631641096","3.7567138671875E-5","0.27017211914062","1","536","0.0012895535193384","-0.0025236618965864","100 µA"
"0.27252197265625","233.31852341093","4.78515625E-5","0.27261352539062","1","537","0.0012895535193384","-0.0025236618965864","100 µA"
"0.27496337890625","233.3307304109","5.9234619140625E-5","0.2750244140625","1","538","0.0012895535193384","-0.0025236618965864","100 µA"
"0.27740478515625","233.34293741087","6.689453125E-5","0.2774658203125","1","539","0.0012895535193384","-0.0025236618965864","100 µA"
"0.27984619140625","233.35514441083","7.4920654296875E-5","0.27984619140625","1","540","0.0012895535193384","-0.0025236618965864","100 µA"
"0.28228759765625","233.3673514108","8.7066650390625E-5","0.28237915039062","1","541","0.0012895535193384","-0.0025236618965864","100 µA"
"0.28472900390625","233.37955841077","9.8358154296875E-5","0.2847900390625","1","542","0.0012895535193384","-0.0025236618965864","100 µA"
"0.28717041015625","233.39176541074","0.00010595703125","0.2872314453125","1","543","0.0012895535193384","-0.0025236618965864","100 µA"
"0.28961181640625","233.40397241071","0.00011575317382813","0.2896728515625","1","544","0.0012895535193384","-0.0025236618965864","100 µA"
"0.29205322265625","233.41617941068","0.00012933349609375","0.29205322265625","1","545","0.0012895535193384","-0.0025236618965864","100 µA"
"0.29449462890625","233.42838641065","0.00014016723632812","0.29452514648438","1","546","0.0012895535193384","-0.0025236618965864","100 µA"
"0.29693603515625","233.44059341062","0.00014810180664063","0.29696655273438","1","547","0.0012895535193384","-0.0025236618965864","100 µA"
"0.29937744140625","233.45280041059","0.00015982055664063","0.29937744140625","1","548","0.0012895535193384","-0.0025236618965864","100 µA"
"0.30181884765625","233.46500741056","0.00017410278320313","0.30169677734375","1","549","0.0012895535193384","-0.0025236618965864","100 µA"
"0.30426025390625","233.47721441053","0.00018429565429688","0.30416870117188","1","550","0.0012895535193384","-0.0025236618965864","100 µA"
"0.30670166015625","233.4894214105","0.00019302368164063","0.30657958984375","1","551","0.0012895535193384","-0.0025236618965864","100 µA"
"0.30914306640625","233.50162841047","0.0002066650390625","0.30902099609375","1","552","0.0012895535193384","-0.0025236618965864","100 µA"
"0.31158447265625","233.51383541043","0.00022064208984375","0.31146240234375","1","553","0.0012895535193384","-0.0025236618965864","100 µA"
"0.31402587890625","233.5260424104","0.000230224609375","0.31393432617188","1","554","0.0012895535193384","-0.0025236618965864","100 µA"
"0.31646728515625","233.53824941037","0.00024038696289063","0.31637573242188","1","555","0.0012895535193384","-0.0025236618965864","100 µA"
"0.31890869140625","233.55045641034","0.00025527954101563","0.31875610351562","1","556","0.0012895535193384","-0.0025236618965864","100 µA"
"0.32135009765625","233.56266341031","0.0002684326171875","0.3211669921875","1","557","0.0012895535193384","-0.0025236618965864","100 µA"
"0.32379150390625","233.57487041028","0.00027719116210938","0.3236083984375","1","558","0.0012895535193384","-0.0025236618965864","100 µA"
