"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range","Overload"
"0.350341796875","153.09182961348","0.00041998291015625","0.3504638671875","1","563","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.352783203125","153.10159561346","0.0004359130859375","0.3529052734375","1","564","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.355224609375","153.11136161343","0.000446044921875","0.3553466796875","1","565","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.357666015625","153.12112761341","0.00045684814453125","0.35784912109375","1","566","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.360107421875","153.13089361338","0.00047161865234375","0.3602294921875","1","567","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.362548828125","153.14065961336","0.00047821044921875","0.36270141601562","1","568","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.364990234375","153.15042561333","0.00049417114257813","0.36514282226562","1","569","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.367431640625","153.16019161331","0.00050048828125","0.36752319335938","1","570","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.369873046875","153.16995761328","0.0005120849609375","0.3699951171875","1","571","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.372314453125","153.17972361326","0.00052398681640625","0.37237548828125","1","572","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.374755859375","153.18948961323","0.00053009033203125","0.37490844726562","1","573","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.377197265625","153.19925561321","0.00054473876953125","0.37741088867188","1","574","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.379638671875","153.20902161318","0.00054901123046875","0.37979125976562","1","575","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.382080078125","153.21878761316","0.0005615234375","0.38229370117188","1","576","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.384521484375","153.22855361314","0.00056915283203125","0.3846435546875","1","577","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.386962890625","153.23831961311","0.00057525634765625","0.38711547851562","1","578","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.389404296875","153.24808561309","0.00058746337890625","0.38961791992188","1","579","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.391845703125","153.25785161306","0.00058990478515625","0.39202880859375","1","580","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.394287109375","153.26761761304","0.00060150146484375","0.3944091796875","1","581","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.396728515625","153.27738361301","0.00060546875","0.3968505859375","1","582","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.399169921875","153.28714961299","0.000611572265625","0.39935302734375","1","583","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.401611328125","153.29691561296","0.0006201171875","0.4017333984375","1","584","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.404052734375","153.30668161294","0.0006207275390625","0.4041748046875","1","585","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.406494140625","153.31644761291","0.00063079833984375","0.4066162109375","1","586","0.0011514731168747","-0.0022339593410492","1 mA",""
